epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_K_f_rmse,training_Cl_f_rmse,training_psavg_f_rmse,training_e/N_rmse,validation_loss_f,validation_loss_e,validation_loss,validation_K_f_rmse,validation_Cl_f_rmse,validation_psavg_f_rmse,validation_e/N_rmse
        35, 2117.845,     0.01,          0.84977,          0.14587,           84.977,        0.227,         0.23,        0.229,       0.0947,          0.84761,          0.14436,           84.761,        0.226,         0.23,        0.228,       0.0942
        36, 2178.138,     0.01,          0.84966,          0.14782,           84.966,        0.227,         0.23,        0.228,       0.0953,          0.84761,          0.13677,           84.761,        0.226,         0.23,        0.228,       0.0917
        37, 2238.472,    0.005,          0.84895,          0.14367,           84.895,        0.227,         0.23,        0.228,        0.094,          0.84749,          0.15441,           84.749,        0.226,         0.23,        0.228,       0.0974
        38, 2310.038,    0.005,          0.84886,          0.14508,           84.886,        0.227,         0.23,        0.228,       0.0944,          0.84752,          0.15202,           84.752,        0.226,         0.23,        0.228,       0.0967
        39, 2377.730,    0.005,          0.84871,          0.15543,           84.871,        0.227,         0.23,        0.228,       0.0977,          0.84755,          0.16287,           84.755,        0.226,         0.23,        0.228,          0.1
        40, 2440.683,    0.005,          0.84876,          0.15902,           84.876,        0.227,         0.23,        0.228,       0.0989,          0.84758,          0.15973,           84.758,        0.226,         0.23,        0.228,       0.0991
        41, 2502.601,    0.005,          0.84869,          0.16306,           84.869,        0.227,         0.23,        0.228,          0.1,          0.84756,          0.16792,           84.756,        0.226,         0.23,        0.228,        0.102
        42, 2563.752,    0.005,          0.84871,          0.15679,           84.871,        0.227,         0.23,        0.228,       0.0982,          0.84747,          0.15872,           84.747,        0.226,         0.23,        0.228,       0.0988
        43, 2624.950,    0.005,          0.84873,          0.15476,           84.873,        0.227,         0.23,        0.228,       0.0975,          0.84753,          0.15443,           84.753,        0.226,         0.23,        0.228,       0.0974
        44, 2685.701,   0.0025,          0.84818,          0.15695,           84.818,        0.227,         0.23,        0.228,       0.0982,          0.84732,          0.15346,           84.732,        0.226,         0.23,        0.228,       0.0971
        45, 2747.001,   0.0025,          0.84808,          0.16148,           84.808,        0.227,         0.23,        0.228,       0.0996,           0.8474,          0.15366,            84.74,        0.226,         0.23,        0.228,       0.0972
