epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_O_f_rmse,training_H_f_rmse,training_Li_f_rmse,training_Br_f_rmse,training_psavg_f_rmse,training_e/N_rmse,validation_loss_f,validation_loss_e,validation_loss,validation_O_f_rmse,validation_H_f_rmse,validation_Li_f_rmse,validation_Br_f_rmse,validation_psavg_f_rmse,validation_e/N_rmse
        25,  392.086,     0.01,        0.0022949,       2.5605e-05,          0.22951,       0.0474,       0.0361,       0.0327,       0.0345,       0.0377,      0.00402,        0.0019621,       3.1845e-06,          0.19621,       0.0425,       0.0313,       0.0321,       0.0331,       0.0347,      0.00143
        26,  407.391,     0.01,        0.0023838,        9.616e-05,          0.23848,       0.0495,       0.0377,       0.0325,       0.0335,       0.0383,      0.00782,        0.0019043,       3.0832e-06,          0.19043,       0.0419,       0.0307,       0.0317,       0.0325,       0.0342,      0.00141
        27,  422.700,     0.01,        0.0023615,       3.6727e-05,          0.23619,       0.0496,       0.0371,       0.0322,       0.0334,       0.0381,      0.00482,        0.0018482,       5.1093e-06,          0.18482,       0.0413,       0.0302,       0.0311,       0.0321,       0.0337,      0.00182
        28,  437.933,     0.01,        0.0021363,       2.6538e-05,          0.21365,       0.0467,       0.0351,       0.0312,       0.0321,       0.0363,      0.00408,        0.0017959,       2.7543e-06,          0.17959,       0.0408,       0.0298,       0.0307,       0.0316,       0.0332,      0.00134
        29,  453.199,     0.01,         0.002095,       3.5382e-05,          0.20953,       0.0461,       0.0345,        0.031,        0.032,       0.0359,      0.00474,        0.0017426,       2.2104e-06,          0.17426,       0.0402,       0.0293,       0.0302,       0.0312,       0.0327,      0.00121
        30,  468.442,     0.01,         0.002091,       1.9782e-05,          0.20912,       0.0462,       0.0346,       0.0305,       0.0322,       0.0359,      0.00353,        0.0017009,       1.5788e-06,          0.17009,       0.0397,       0.0289,       0.0299,       0.0308,       0.0323,      0.00104
        31,  483.697,     0.01,        0.0021168,       6.4079e-05,          0.21174,       0.0465,        0.035,       0.0305,       0.0324,       0.0361,      0.00639,        0.0016501,       1.7463e-06,          0.16501,       0.0392,       0.0285,       0.0295,       0.0304,       0.0319,      0.00109
        32,  498.959,     0.01,        0.0021863,        7.788e-05,          0.21871,       0.0471,       0.0363,       0.0306,       0.0325,       0.0366,      0.00702,        0.0016088,       2.0506e-06,          0.16088,       0.0388,       0.0281,       0.0291,         0.03,       0.0315,      0.00117
        33,  514.238,     0.01,        0.0019821,       4.4114e-05,          0.19826,       0.0451,       0.0343,       0.0299,       0.0305,       0.0349,       0.0053,        0.0015735,       3.3228e-06,          0.15735,       0.0383,       0.0278,       0.0287,       0.0298,       0.0312,      0.00148
        34,  529.484,     0.01,         0.001877,       2.0708e-05,          0.18773,       0.0438,       0.0332,       0.0287,       0.0302,        0.034,      0.00363,        0.0015305,        1.543e-06,          0.15305,       0.0379,       0.0274,       0.0283,       0.0294,       0.0308,      0.00102
        35,  544.742,     0.01,        0.0018233,       3.5125e-05,          0.18236,       0.0432,        0.032,        0.029,       0.0298,       0.0335,      0.00469,        0.0014847,       1.7559e-06,          0.14847,       0.0374,        0.027,        0.028,       0.0289,       0.0303,      0.00109
        36,  559.978,     0.01,         0.001852,       3.6131e-05,          0.18524,       0.0438,       0.0327,       0.0284,         0.03,       0.0337,      0.00477,        0.0014487,       3.6178e-06,          0.14488,        0.037,       0.0267,       0.0277,       0.0286,         0.03,      0.00154
        37,  575.231,     0.01,        0.0018713,       4.0253e-05,          0.18717,       0.0441,        0.033,       0.0284,         0.03,       0.0339,      0.00506,        0.0014193,        5.753e-07,          0.14193,       0.0367,       0.0264,       0.0274,       0.0282,       0.0297,     0.000646
        38,  590.482,     0.01,        0.0016433,       4.3734e-05,          0.16437,       0.0406,       0.0302,       0.0274,       0.0292,       0.0319,      0.00527,        0.0013847,       5.1308e-07,          0.13847,       0.0363,        0.026,       0.0271,       0.0279,       0.0293,     0.000604
        39,  605.748,     0.01,         0.001768,       3.0459e-05,          0.17683,       0.0437,       0.0325,        0.027,       0.0282,       0.0328,      0.00435,        0.0013515,       1.4519e-06,          0.13515,       0.0359,       0.0258,       0.0268,       0.0275,        0.029,     0.000998
        40,  620.996,     0.01,        0.0015902,       7.6366e-05,           0.1591,       0.0402,       0.0297,       0.0269,       0.0284,       0.0313,      0.00697,        0.0013182,       1.2807e-06,          0.13182,       0.0355,       0.0255,       0.0265,       0.0272,       0.0287,     0.000931
        41,  636.284,     0.01,         0.001579,       2.6773e-05,          0.15792,       0.0404,       0.0299,       0.0264,       0.0278,       0.0311,      0.00408,        0.0012861,       2.1778e-07,          0.12861,       0.0352,       0.0252,       0.0262,        0.027,       0.0284,     0.000421
        42,  651.543,     0.01,        0.0017712,       1.9899e-05,          0.17714,       0.0423,       0.0319,       0.0279,       0.0301,        0.033,      0.00355,          0.00126,       4.9785e-07,            0.126,       0.0348,        0.025,        0.026,       0.0267,       0.0281,     0.000609
        43,  666.780,     0.01,        0.0015984,       3.2975e-05,          0.15988,       0.0411,       0.0304,       0.0263,       0.0273,       0.0313,      0.00453,        0.0012351,       7.2941e-07,          0.12351,       0.0345,       0.0247,       0.0257,       0.0264,       0.0279,     0.000714
        44,  682.025,     0.01,         0.001527,       2.1601e-05,          0.15272,       0.0392,       0.0293,       0.0262,        0.028,       0.0307,      0.00369,        0.0012063,       5.1957e-07,          0.12063,       0.0343,       0.0245,       0.0255,       0.0262,       0.0276,     0.000608
        45,  697.275,     0.01,         0.001491,       2.6735e-05,          0.14913,       0.0398,       0.0293,       0.0254,       0.0263,       0.0302,      0.00412,        0.0011821,       2.2942e-07,          0.11821,       0.0339,       0.0242,       0.0252,       0.0259,       0.0273,     0.000442
        46,  712.527,     0.01,        0.0015786,       3.0694e-05,          0.15789,       0.0415,       0.0307,       0.0251,       0.0267,        0.031,      0.00441,        0.0011582,        5.181e-07,          0.11582,       0.0336,        0.024,       0.0249,       0.0256,        0.027,     0.000627
        47,  727.791,     0.01,        0.0015685,       4.0451e-05,          0.15689,       0.0416,       0.0308,       0.0249,        0.026,       0.0308,      0.00507,        0.0011368,        3.482e-07,          0.11368,       0.0334,       0.0239,       0.0247,       0.0254,       0.0268,     0.000512
        48,  743.049,     0.01,        0.0013415,        3.566e-05,          0.13419,       0.0372,        0.027,       0.0246,       0.0261,       0.0287,      0.00476,        0.0011177,        3.457e-07,          0.11177,       0.0331,       0.0236,       0.0245,       0.0251,       0.0266,     0.000511
