epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_O_f_rmse,training_H_f_rmse,training_Li_f_rmse,training_Br_f_rmse,training_psavg_f_rmse,training_e/N_rmse,validation_loss_f,validation_loss_e,validation_loss,validation_O_f_rmse,validation_H_f_rmse,validation_Li_f_rmse,validation_Br_f_rmse,validation_psavg_f_rmse,validation_e/N_rmse
       208, 3184.064,     0.01,       0.00058698,       6.7615e-05,         0.058766,       0.0272,       0.0182,       0.0141,       0.0147,       0.0186,      0.00656,       0.00040048,       7.1285e-08,         0.040048,       0.0209,       0.0139,       0.0149,       0.0152,       0.0162,     0.000254
       209, 3199.305,     0.01,        0.0006579,       4.5343e-05,         0.065835,       0.0285,       0.0197,       0.0145,       0.0159,       0.0196,      0.00536,       0.00039929,       1.2819e-07,         0.039929,       0.0209,       0.0139,       0.0148,       0.0152,       0.0162,      0.00033
       210, 3214.584,     0.01,       0.00054671,       4.1881e-05,         0.054713,       0.0254,       0.0171,       0.0143,       0.0155,       0.0181,      0.00514,       0.00039748,       5.3442e-07,         0.039748,       0.0208,       0.0139,       0.0149,       0.0152,       0.0162,      0.00061
       211, 3229.822,     0.01,       0.00049616,       5.6355e-05,         0.049672,       0.0241,       0.0164,       0.0139,       0.0148,       0.0173,      0.00599,       0.00039522,       2.0136e-07,         0.039522,       0.0208,       0.0139,       0.0148,       0.0152,       0.0162,     0.000386
       212, 3245.128,     0.01,       0.00051996,       1.5279e-05,         0.052011,       0.0244,       0.0165,       0.0138,        0.016,       0.0177,      0.00293,       0.00039376,       1.2913e-06,         0.039377,       0.0207,       0.0138,       0.0148,       0.0152,       0.0161,     0.000939
       213, 3260.362,     0.01,       0.00057027,       8.0496e-05,         0.057108,       0.0263,       0.0179,       0.0141,       0.0154,       0.0184,      0.00716,       0.00039224,       1.5725e-07,         0.039224,       0.0207,       0.0138,       0.0146,       0.0151,       0.0161,     0.000359
       214, 3275.611,     0.01,       0.00066666,       9.0059e-05,         0.066756,       0.0287,       0.0193,        0.015,       0.0164,       0.0199,      0.00757,       0.00039095,        1.407e-06,         0.039096,       0.0207,       0.0138,       0.0147,       0.0151,       0.0161,     0.000963
       215, 3290.879,     0.01,       0.00046074,       1.6711e-05,         0.046091,       0.0228,       0.0159,       0.0136,       0.0144,       0.0167,      0.00326,       0.00039012,         4.09e-08,         0.039012,       0.0207,       0.0138,       0.0147,        0.015,       0.0161,     0.000161
       216, 3306.192,     0.01,       0.00052926,        3.309e-05,         0.052959,       0.0252,       0.0174,       0.0135,       0.0148,       0.0177,      0.00459,       0.00038755,       7.2631e-07,         0.038755,       0.0206,       0.0137,       0.0147,        0.015,        0.016,     0.000724
       217, 3321.460,     0.01,       0.00053821,       1.4803e-05,         0.053835,       0.0256,       0.0177,       0.0132,       0.0147,       0.0178,      0.00307,       0.00038745,       3.4306e-08,         0.038745,       0.0206,       0.0137,       0.0146,       0.0149,        0.016,     0.000159
       218, 3336.700,     0.01,       0.00059967,       3.1415e-05,         0.059999,       0.0274,       0.0187,       0.0138,        0.015,       0.0188,      0.00446,       0.00038553,       8.3669e-07,         0.038554,       0.0206,       0.0137,       0.0146,       0.0149,        0.016,      0.00077
       219, 3351.966,     0.01,       0.00046228,       2.3812e-05,         0.046251,       0.0231,       0.0157,       0.0134,       0.0144,       0.0167,      0.00389,       0.00038519,       9.5112e-08,         0.038519,       0.0205,       0.0137,       0.0146,       0.0149,       0.0159,     0.000284
       220, 3367.203,     0.01,       0.00050002,       3.0021e-05,         0.050032,        0.024,       0.0164,       0.0138,       0.0153,       0.0174,      0.00437,       0.00038425,       6.7803e-07,         0.038425,       0.0205,       0.0136,       0.0146,       0.0148,       0.0159,     0.000694
       221, 3382.433,     0.01,       0.00050959,       4.5239e-05,         0.051005,        0.024,       0.0165,       0.0139,       0.0158,       0.0176,      0.00536,        0.0003851,       4.6386e-08,          0.03851,       0.0205,       0.0136,       0.0146,       0.0148,       0.0159,     0.000208
       222, 3397.696,     0.01,       0.00048539,       2.8171e-05,         0.048567,       0.0243,       0.0163,       0.0133,       0.0141,        0.017,      0.00423,       0.00038224,       2.1235e-06,         0.038226,       0.0205,       0.0136,       0.0145,       0.0148,       0.0158,       0.0012
       223, 3413.003,     0.01,        0.0006388,       0.00011809,         0.063998,       0.0288,       0.0196,       0.0137,       0.0148,       0.0192,      0.00867,       0.00038184,       4.1324e-07,         0.038184,       0.0205,       0.0136,       0.0145,       0.0147,       0.0158,     0.000551
       224, 3428.267,     0.01,       0.00052635,       5.9591e-05,         0.052694,       0.0253,       0.0171,       0.0136,       0.0146,       0.0177,      0.00616,       0.00038002,       1.3377e-06,         0.038003,       0.0204,       0.0136,       0.0145,       0.0147,       0.0158,     0.000957
       225, 3443.500,     0.01,       0.00046198,       1.1887e-05,          0.04621,       0.0232,       0.0158,       0.0131,       0.0145,       0.0167,      0.00275,       0.00037867,       5.3194e-08,         0.037867,       0.0204,       0.0135,       0.0145,       0.0147,       0.0158,     0.000204
       226, 3458.748,     0.01,       0.00053647,       2.1969e-05,         0.053669,       0.0257,       0.0179,        0.013,       0.0143,       0.0177,      0.00374,       0.00037833,       7.4606e-08,         0.037833,       0.0204,       0.0135,       0.0145,       0.0147,       0.0158,     0.000242
       227, 3473.996,     0.01,       0.00047028,       1.2009e-05,          0.04704,       0.0234,       0.0163,        0.013,       0.0146,       0.0168,      0.00276,       0.00037759,       8.2444e-08,         0.037759,       0.0203,       0.0135,       0.0144,       0.0147,       0.0157,     0.000268
       228, 3489.268,     0.01,       0.00050479,       2.0235e-05,         0.050499,       0.0248,        0.017,       0.0131,       0.0143,       0.0173,      0.00355,       0.00037575,       7.2484e-08,         0.037575,       0.0203,       0.0135,       0.0144,       0.0147,       0.0157,     0.000248
       229, 3504.509,     0.01,       0.00048975,       1.0739e-05,         0.048986,       0.0244,       0.0169,       0.0131,       0.0137,        0.017,      0.00261,       0.00037287,       4.5827e-08,         0.037287,       0.0202,       0.0134,       0.0143,       0.0146,       0.0157,     0.000197
       230, 3519.790,     0.01,       0.00051084,       1.0384e-05,         0.051095,       0.0246,       0.0171,       0.0136,       0.0145,       0.0175,      0.00256,       0.00037298,        2.484e-07,         0.037298,       0.0202,       0.0134,       0.0143,       0.0146,       0.0156,     0.000431
       231, 3535.039,     0.01,       0.00044868,       1.1868e-05,          0.04488,       0.0231,        0.016,       0.0125,       0.0138,       0.0164,      0.00274,        0.0003713,       3.9897e-08,          0.03713,       0.0202,       0.0134,       0.0142,       0.0145,       0.0156,      0.00016
       232, 3550.282,     0.01,       0.00049819,       1.8474e-05,         0.049837,       0.0249,       0.0173,       0.0127,       0.0134,       0.0171,      0.00343,       0.00036958,        1.215e-07,         0.036958,       0.0201,       0.0133,       0.0143,       0.0145,       0.0156,     0.000314
       233, 3565.543,     0.01,       0.00057448,       2.2551e-05,          0.05747,       0.0266,       0.0186,       0.0136,       0.0146,       0.0184,      0.00378,       0.00036877,       9.8206e-08,         0.036877,       0.0201,       0.0133,       0.0142,       0.0144,       0.0155,     0.000286
       234, 3580.773,     0.01,       0.00047514,       4.0144e-05,         0.047554,       0.0238,       0.0164,       0.0129,       0.0143,       0.0168,      0.00504,       0.00036867,       2.1148e-07,         0.036868,       0.0201,       0.0133,       0.0142,       0.0144,       0.0155,     0.000403
       235, 3596.073,     0.01,       0.00045354,       2.1111e-05,         0.045375,       0.0233,       0.0159,        0.013,       0.0136,       0.0164,      0.00366,       0.00036573,       2.4976e-07,         0.036573,       0.0201,       0.0133,       0.0142,       0.0144,       0.0155,     0.000358
       236, 3611.304,     0.01,       0.00053618,       2.7381e-05,         0.053645,       0.0258,        0.018,       0.0129,       0.0141,       0.0177,      0.00417,       0.00036551,       1.8459e-07,         0.036551,       0.0201,       0.0133,       0.0142,       0.0144,       0.0155,     0.000364
       237, 3626.583,     0.01,       0.00044735,       8.4517e-06,         0.044743,       0.0233,        0.016,       0.0124,       0.0135,       0.0163,      0.00226,        0.0003637,       8.2702e-08,          0.03637,         0.02,       0.0132,       0.0142,       0.0143,       0.0154,     0.000262
       238, 3641.858,     0.01,       0.00049845,       3.4388e-05,         0.049879,       0.0245,       0.0172,       0.0129,        0.014,       0.0171,      0.00468,       0.00036353,       3.6663e-07,         0.036353,         0.02,       0.0132,       0.0141,       0.0143,       0.0154,     0.000532
       239, 3657.189,     0.01,       0.00050066,       2.6199e-05,         0.050092,       0.0241,       0.0173,       0.0129,        0.015,       0.0173,      0.00408,       0.00036273,       1.1824e-07,         0.036273,         0.02,       0.0132,       0.0141,       0.0143,       0.0154,     0.000219
       240, 3672.446,     0.01,       0.00048251,         1.29e-05,         0.048264,        0.024,       0.0169,       0.0131,       0.0138,       0.0169,      0.00281,       0.00036211,       8.1338e-07,         0.036211,         0.02,       0.0132,       0.0141,       0.0142,       0.0154,     0.000762
       241, 3687.687,     0.01,       0.00044836,       4.6372e-05,         0.044883,       0.0233,       0.0158,       0.0127,       0.0134,       0.0163,      0.00541,       0.00036109,       4.8091e-08,         0.036109,       0.0199,       0.0132,       0.0141,       0.0142,       0.0154,     0.000182
       242, 3702.919,     0.01,       0.00053507,       4.1826e-05,         0.053549,       0.0261,       0.0176,       0.0129,       0.0141,       0.0177,      0.00515,       0.00035963,       2.1791e-06,         0.035965,       0.0199,       0.0131,       0.0141,       0.0142,       0.0153,      0.00122
       243, 3718.199,     0.01,        0.0005214,       4.9379e-05,          0.05219,       0.0251,       0.0176,       0.0132,       0.0144,       0.0176,       0.0056,       0.00035627,       4.3672e-08,         0.035627,       0.0199,       0.0131,        0.014,       0.0141,       0.0153,     0.000183
       244, 3733.449,     0.01,       0.00050487,       3.1884e-05,         0.050519,       0.0249,       0.0171,       0.0133,       0.0138,       0.0173,       0.0045,       0.00035815,       1.8321e-07,         0.035815,       0.0199,       0.0131,        0.014,       0.0142,       0.0153,      0.00037
       245, 3748.716,     0.01,       0.00045458,       2.5673e-05,         0.045484,        0.023,       0.0157,       0.0131,       0.0143,       0.0165,      0.00404,       0.00035618,       6.0173e-08,         0.035618,       0.0199,       0.0131,        0.014,       0.0141,       0.0153,     0.000216
       246, 3763.977,     0.01,       0.00044069,       4.0415e-05,          0.04411,       0.0233,        0.016,       0.0124,       0.0128,       0.0161,      0.00507,       0.00035392,       3.5786e-07,         0.035392,       0.0198,       0.0131,        0.014,       0.0141,       0.0152,     0.000503
       247, 3779.226,     0.01,        0.0004465,       2.3856e-05,         0.044674,       0.0235,       0.0161,       0.0124,       0.0129,       0.0162,      0.00389,       0.00035137,        6.171e-08,         0.035137,       0.0198,        0.013,       0.0139,        0.014,       0.0152,     0.000176
       248, 3794.479,     0.01,       0.00060177,       4.0941e-05,         0.060218,       0.0266,       0.0185,       0.0144,       0.0165,        0.019,       0.0051,       0.00035548,        3.549e-07,         0.035548,       0.0198,       0.0131,        0.014,       0.0142,       0.0153,      0.00051
       249, 3809.738,     0.01,       0.00050394,       2.3391e-05,         0.050418,       0.0248,       0.0173,       0.0126,       0.0143,       0.0173,      0.00385,       0.00035507,       1.3666e-07,         0.035507,       0.0198,       0.0131,        0.014,       0.0141,       0.0152,     0.000343
       250, 3824.963,     0.01,       0.00043914,       3.4802e-05,         0.043949,       0.0231,       0.0162,       0.0119,       0.0134,       0.0161,      0.00471,       0.00035217,        9.509e-08,         0.035217,       0.0198,        0.013,       0.0139,        0.014,       0.0152,     0.000266
       251, 3840.249,     0.01,       0.00041889,         1.23e-05,         0.041901,       0.0224,       0.0156,       0.0122,        0.013,       0.0158,      0.00279,       0.00034849,       8.2026e-08,         0.034849,       0.0197,        0.013,       0.0138,        0.014,       0.0151,     0.000208
       252, 3855.475,     0.01,       0.00043457,       1.6681e-05,         0.043474,       0.0226,       0.0158,       0.0126,       0.0136,       0.0161,      0.00325,       0.00034678,       8.4894e-08,         0.034678,       0.0197,       0.0129,       0.0138,        0.014,       0.0151,     0.000266
       253, 3870.926,     0.01,       0.00047813,       6.1302e-05,         0.047874,       0.0237,       0.0162,       0.0133,       0.0145,       0.0169,      0.00624,       0.00034825,       3.9397e-08,         0.034825,       0.0196,       0.0129,       0.0138,       0.0139,       0.0151,     0.000172
       254, 3886.195,     0.01,       0.00054564,       4.8751e-05,         0.054613,       0.0267,       0.0181,       0.0126,       0.0135,       0.0177,      0.00555,       0.00034793,       6.0947e-07,         0.034793,       0.0197,       0.0129,       0.0138,       0.0139,       0.0151,     0.000659
       255, 3901.428,     0.01,        0.0004083,       1.4424e-05,         0.040845,        0.022,       0.0151,       0.0121,        0.013,       0.0156,      0.00302,       0.00034626,       5.0576e-07,         0.034626,       0.0196,       0.0129,       0.0138,       0.0139,        0.015,     0.000535
       256, 3916.695,     0.01,       0.00050038,       2.6038e-05,         0.050064,       0.0248,       0.0171,       0.0127,       0.0142,       0.0172,      0.00399,       0.00034639,       1.4944e-06,          0.03464,       0.0196,       0.0129,       0.0138,       0.0139,        0.015,      0.00102
       257, 3931.950,     0.01,       0.00047581,        5.177e-05,         0.047632,       0.0241,       0.0167,       0.0125,       0.0137,       0.0168,      0.00574,       0.00034525,       3.6192e-08,         0.034525,       0.0196,       0.0129,       0.0138,       0.0138,        0.015,     0.000165
       258, 3947.206,     0.01,        0.0004623,       6.9078e-05,         0.046299,       0.0241,       0.0161,       0.0126,       0.0132,       0.0165,      0.00662,       0.00034413,       4.6783e-07,         0.034414,       0.0196,       0.0129,       0.0138,       0.0138,        0.015,     0.000572
       259, 3962.455,     0.01,       0.00046833,       5.0878e-05,         0.046884,       0.0235,       0.0162,       0.0128,       0.0144,       0.0167,      0.00568,       0.00034247,       9.9705e-08,         0.034247,       0.0196,       0.0129,       0.0137,       0.0138,        0.015,     0.000279
       260, 3977.683,     0.01,        0.0004757,       3.4259e-05,         0.047604,       0.0247,       0.0168,       0.0121,       0.0128,       0.0166,      0.00467,       0.00034193,       2.5436e-06,         0.034196,       0.0195,       0.0128,       0.0137,       0.0137,        0.015,      0.00132
       261, 3992.985,     0.01,        0.0005291,       0.00017505,         0.053085,       0.0258,       0.0171,       0.0135,       0.0143,       0.0177,       0.0106,       0.00034224,       3.7946e-08,         0.034224,       0.0196,       0.0129,       0.0137,       0.0137,        0.015,     0.000182
       262, 4008.241,     0.01,       0.00050479,       0.00010286,         0.050582,       0.0253,       0.0164,       0.0129,       0.0143,       0.0172,      0.00809,       0.00034116,       5.3162e-07,         0.034117,       0.0195,       0.0128,       0.0137,       0.0138,        0.015,     0.000619
       263, 4023.475,     0.01,        0.0004463,       1.1077e-05,         0.044641,       0.0237,       0.0165,       0.0119,       0.0124,       0.0161,      0.00265,       0.00033801,       1.2544e-07,         0.033801,       0.0195,       0.0128,       0.0136,       0.0137,       0.0149,     0.000317
       264, 4038.727,     0.01,       0.00041641,       5.8342e-06,         0.041647,       0.0228,       0.0157,       0.0115,       0.0122,       0.0156,      0.00193,       0.00033514,       7.5856e-08,         0.033514,       0.0194,       0.0128,       0.0136,       0.0136,       0.0148,     0.000255
       265, 4053.982,     0.01,       0.00044871,       1.3632e-05,         0.044884,        0.023,       0.0166,       0.0124,       0.0133,       0.0163,      0.00294,       0.00033552,       4.3682e-08,         0.033552,       0.0194,       0.0127,       0.0136,       0.0136,       0.0148,     0.000165
       266, 4069.235,     0.01,       0.00041468,       2.0681e-05,         0.041489,       0.0222,       0.0155,       0.0122,       0.0129,       0.0157,      0.00362,       0.00033523,       1.4404e-07,         0.033523,       0.0194,       0.0127,       0.0136,       0.0136,       0.0148,     0.000341
       267, 4084.501,     0.01,       0.00041955,       1.3487e-05,         0.041969,       0.0226,       0.0158,       0.0117,       0.0131,       0.0158,      0.00292,       0.00033317,        5.631e-08,         0.033317,       0.0194,       0.0127,       0.0135,       0.0136,       0.0148,      0.00018
       268, 4099.765,     0.01,       0.00054854,       2.0166e-05,         0.054874,       0.0269,       0.0188,        0.012,       0.0132,       0.0177,      0.00357,       0.00033352,       1.4717e-07,         0.033352,       0.0193,       0.0127,       0.0135,       0.0135,       0.0148,     0.000342
       269, 4115.043,     0.01,        0.0003971,       1.0112e-05,          0.03972,       0.0216,        0.015,        0.012,       0.0131,       0.0154,      0.00253,       0.00033299,       6.1723e-08,         0.033299,       0.0193,       0.0127,       0.0135,       0.0135,       0.0148,     0.000165
       270, 4130.281,     0.01,       0.00042493,       2.2936e-05,         0.042515,       0.0223,       0.0155,       0.0125,       0.0134,        0.016,      0.00382,       0.00033265,       1.2136e-07,         0.033265,       0.0193,       0.0127,       0.0135,       0.0136,       0.0147,     0.000319
       271, 4145.542,     0.01,       0.00041299,        8.395e-06,         0.041308,       0.0226,       0.0155,       0.0119,       0.0125,       0.0156,       0.0023,       0.00033026,       3.6975e-08,         0.033026,       0.0193,       0.0126,       0.0134,       0.0135,       0.0147,     0.000178
       272, 4160.778,     0.01,       0.00038705,       1.7316e-05,         0.038722,       0.0217,        0.015,       0.0114,       0.0125,       0.0151,      0.00332,        0.0003295,       4.6988e-08,          0.03295,       0.0192,       0.0126,       0.0134,       0.0135,       0.0147,     0.000192
       273, 4176.047,     0.01,       0.00044027,        1.359e-05,         0.044041,       0.0231,       0.0164,       0.0121,       0.0129,       0.0161,      0.00294,       0.00032956,       3.7703e-08,         0.032956,       0.0192,       0.0126,       0.0134,       0.0134,       0.0147,     0.000153
       274, 4191.282,     0.01,       0.00052732,        3.324e-05,         0.052765,       0.0254,       0.0182,       0.0123,       0.0144,       0.0176,       0.0046,       0.00033164,       2.9323e-07,         0.033164,       0.0192,       0.0126,       0.0135,       0.0135,       0.0147,     0.000477
       275, 4206.543,     0.01,       0.00039086,       1.5045e-05,         0.039101,       0.0218,        0.015,       0.0117,       0.0123,       0.0152,      0.00309,       0.00032973,       6.3374e-08,         0.032973,       0.0192,       0.0126,       0.0134,       0.0134,       0.0147,     0.000236
       276, 4221.811,     0.01,       0.00044572,       2.8169e-05,           0.0446,       0.0234,       0.0164,        0.012,        0.013,       0.0162,      0.00423,       0.00032861,       2.3334e-07,         0.032861,       0.0192,       0.0126,       0.0134,       0.0134,       0.0146,     0.000424
       277, 4237.084,     0.01,       0.00039938,       1.1113e-05,         0.039949,       0.0223,       0.0152,       0.0116,       0.0123,       0.0153,      0.00266,       0.00032589,        5.924e-08,          0.03259,       0.0191,       0.0125,       0.0133,       0.0134,       0.0146,     0.000172
       278, 4252.371,     0.01,       0.00060839,        9.352e-05,         0.060932,       0.0286,       0.0199,       0.0125,       0.0133,       0.0186,      0.00771,       0.00032575,       4.1858e-07,         0.032576,       0.0192,       0.0126,       0.0133,       0.0134,       0.0146,      0.00056
       279, 4267.614,     0.01,       0.00038352,       1.8363e-05,          0.03837,       0.0214,       0.0149,       0.0117,       0.0125,       0.0151,      0.00341,       0.00032398,       6.5599e-07,         0.032398,       0.0192,       0.0125,       0.0133,       0.0133,       0.0146,     0.000585
       280, 4282.991,     0.01,       0.00037452,       2.2466e-05,         0.037475,       0.0211,       0.0142,       0.0119,       0.0126,       0.0149,      0.00375,       0.00032192,       7.8256e-07,         0.032193,       0.0191,       0.0125,       0.0133,       0.0133,       0.0145,     0.000752
       281, 4298.379,     0.01,       0.00047459,       6.5652e-05,         0.047524,        0.024,       0.0166,       0.0125,       0.0139,       0.0168,      0.00646,       0.00032122,       4.4227e-08,         0.032122,       0.0191,       0.0125,       0.0132,       0.0133,       0.0145,     0.000163
       282, 4313.636,     0.01,       0.00045364,        5.069e-05,         0.045415,       0.0242,       0.0159,       0.0122,       0.0127,       0.0163,      0.00568,       0.00032057,       4.2742e-07,         0.032057,       0.0191,       0.0124,       0.0133,       0.0133,       0.0145,      0.00056
       283, 4328.931,     0.01,       0.00040169,       2.1609e-05,         0.040191,       0.0225,       0.0152,       0.0116,        0.012,       0.0153,      0.00369,       0.00031854,       7.5122e-08,         0.031854,        0.019,       0.0124,       0.0133,       0.0132,       0.0145,     0.000258
       284, 4344.207,     0.01,       0.00039674,       2.8055e-05,         0.039702,       0.0219,       0.0151,       0.0117,       0.0126,       0.0153,      0.00422,       0.00031795,       6.8895e-08,         0.031795,        0.019,       0.0124,       0.0132,       0.0132,       0.0145,     0.000251
       285, 4359.488,     0.01,       0.00043719,       3.5348e-05,         0.043755,       0.0233,       0.0162,       0.0119,       0.0127,        0.016,      0.00472,       0.00031708,       3.4582e-08,         0.031708,        0.019,       0.0124,       0.0132,       0.0132,       0.0144,     0.000154
       286, 4374.757,     0.01,       0.00042688,       4.3056e-05,         0.042731,       0.0224,       0.0155,       0.0124,       0.0136,        0.016,      0.00522,       0.00031926,       1.3275e-07,         0.031926,        0.019,       0.0124,       0.0132,       0.0132,       0.0145,     0.000331
       287, 4390.030,     0.01,       0.00042449,       2.2562e-05,         0.042472,       0.0229,       0.0158,       0.0118,       0.0127,       0.0158,      0.00379,       0.00031676,       5.4674e-08,         0.031676,        0.019,       0.0124,       0.0132,       0.0131,       0.0144,     0.000158
       288, 4405.284,     0.01,       0.00049052,        1.659e-05,         0.049069,       0.0256,       0.0176,       0.0114,       0.0122,       0.0167,      0.00325,       0.00031548,       8.0205e-07,         0.031549,       0.0189,       0.0124,       0.0132,       0.0131,       0.0144,     0.000754
       289, 4420.531,     0.01,        0.0004197,       5.5087e-05,         0.042025,       0.0226,       0.0152,       0.0123,        0.013,       0.0158,      0.00592,       0.00031416,       3.0094e-08,         0.031416,       0.0189,       0.0124,       0.0131,       0.0131,       0.0144,     0.000152
       290, 4435.778,     0.01,        0.0005045,       4.4775e-05,         0.050495,       0.0253,       0.0175,       0.0122,       0.0136,       0.0171,      0.00534,       0.00031475,       1.9394e-06,         0.031477,        0.019,       0.0124,       0.0132,       0.0131,       0.0144,      0.00113
       291, 4451.029,     0.01,       0.00043781,       1.7294e-05,         0.043798,       0.0227,       0.0159,       0.0121,       0.0141,       0.0162,      0.00332,       0.00031559,       3.9832e-08,         0.031559,        0.019,       0.0124,       0.0132,       0.0132,       0.0144,      0.00015
       292, 4466.340,     0.01,       0.00044615,       2.9733e-05,         0.044644,       0.0234,       0.0162,        0.012,       0.0133,       0.0162,      0.00434,       0.00031424,       6.3121e-07,         0.031425,        0.019,       0.0124,       0.0132,       0.0131,       0.0144,     0.000667
       293, 4481.605,     0.01,       0.00039637,        9.173e-05,         0.039729,       0.0219,       0.0148,       0.0122,       0.0125,       0.0154,      0.00763,       0.00031289,       7.6149e-08,         0.031289,       0.0189,       0.0124,       0.0131,        0.013,       0.0144,     0.000259
       294, 4497.611,     0.01,       0.00043172,        6.684e-05,         0.043239,       0.0231,       0.0157,       0.0121,       0.0128,       0.0159,      0.00652,       0.00031166,       3.7276e-07,         0.031167,       0.0189,       0.0123,       0.0131,        0.013,       0.0144,     0.000521
       295, 4512.863,     0.01,       0.00043701,       2.1016e-05,         0.043722,       0.0231,       0.0164,       0.0115,       0.0132,        0.016,      0.00365,       0.00031119,       3.3921e-08,         0.031119,       0.0189,       0.0123,       0.0131,        0.013,       0.0143,     0.000157
       296, 4528.120,     0.01,        0.0004129,       3.1093e-05,         0.041321,       0.0223,       0.0157,       0.0116,       0.0129,       0.0156,      0.00443,        0.0003104,       5.4147e-07,         0.031041,       0.0189,       0.0123,       0.0131,        0.013,       0.0143,     0.000631
       297, 4543.366,     0.01,        0.0003596,       1.2757e-05,         0.035973,       0.0208,       0.0144,       0.0113,        0.012,       0.0146,      0.00285,       0.00030953,       5.8616e-08,         0.030953,       0.0188,       0.0123,        0.013,        0.013,       0.0143,     0.000228
       298, 4558.628,     0.01,       0.00040903,       7.5251e-06,          0.04091,       0.0223,       0.0155,       0.0118,       0.0123,       0.0155,      0.00213,       0.00030786,       7.1547e-08,         0.030786,       0.0188,       0.0122,        0.013,       0.0129,       0.0142,     0.000242
       299, 4573.908,     0.01,       0.00055012,       0.00010495,         0.055117,       0.0272,       0.0185,        0.012,        0.013,       0.0177,      0.00817,        0.0003093,       4.3109e-08,          0.03093,       0.0188,       0.0123,        0.013,       0.0129,       0.0143,      0.00021
       300, 4589.236,     0.01,       0.00042386,        7.518e-05,         0.042461,       0.0236,       0.0156,       0.0116,       0.0118,       0.0157,      0.00692,       0.00030864,        7.216e-07,         0.030865,       0.0188,       0.0123,        0.013,       0.0129,       0.0143,      0.00072
       301, 4604.483,     0.01,       0.00039471,       4.5221e-05,         0.039516,       0.0217,       0.0152,       0.0116,       0.0128,       0.0153,      0.00536,       0.00030596,       3.2297e-08,         0.030596,       0.0188,       0.0122,        0.013,       0.0129,       0.0142,     0.000163
       302, 4619.738,     0.01,       0.00038111,        3.953e-05,          0.03815,       0.0218,       0.0152,       0.0111,       0.0117,       0.0149,      0.00501,       0.00030546,       1.9695e-06,         0.030548,       0.0187,       0.0122,        0.013,       0.0128,       0.0142,      0.00116
       303, 4634.998,     0.01,       0.00039361,       6.6521e-05,         0.039428,        0.022,       0.0151,       0.0116,       0.0122,       0.0152,       0.0065,       0.00030451,       3.9311e-08,         0.030451,       0.0187,       0.0122,       0.0129,       0.0128,       0.0141,     0.000152
       304, 4650.262,     0.01,         0.000405,       2.1846e-05,         0.040522,       0.0228,       0.0151,       0.0114,        0.012,       0.0153,      0.00354,       0.00030417,       1.2173e-06,         0.030418,       0.0187,       0.0121,       0.0129,       0.0128,       0.0141,     0.000919
       305, 4665.527,     0.01,       0.00044473,       4.9468e-05,         0.044522,       0.0238,       0.0163,       0.0116,       0.0126,       0.0161,      0.00561,       0.00030371,       3.3202e-08,         0.030372,       0.0187,       0.0121,       0.0129,       0.0128,       0.0141,     0.000155
       306, 4680.781,     0.01,       0.00048209,       3.3074e-05,         0.048242,        0.025,       0.0174,       0.0116,       0.0126,       0.0166,      0.00458,       0.00030327,       7.6416e-07,         0.030328,       0.0187,       0.0121,       0.0129,       0.0128,       0.0141,     0.000736
       307, 4696.047,     0.01,       0.00037083,       1.3014e-05,         0.037096,       0.0214,       0.0145,       0.0115,       0.0116,       0.0148,      0.00285,       0.00030308,       4.2821e-08,         0.030308,       0.0187,       0.0121,       0.0129,       0.0128,       0.0141,     0.000146
       308, 4711.346,     0.01,       0.00035696,       1.9205e-05,         0.035715,       0.0206,       0.0144,        0.011,       0.0124,       0.0146,      0.00349,       0.00030135,       1.8337e-07,         0.030135,       0.0186,       0.0121,       0.0129,       0.0127,       0.0141,     0.000386
       309, 4726.593,     0.01,       0.00037973,       2.2917e-05,         0.037996,       0.0215,       0.0149,       0.0111,       0.0124,        0.015,      0.00382,        0.0002988,       1.8571e-07,          0.02988,       0.0186,       0.0121,       0.0128,       0.0127,        0.014,     0.000311
       310, 4741.860,     0.01,       0.00038724,       4.4107e-05,         0.038768,       0.0218,       0.0147,       0.0116,       0.0125,       0.0151,      0.00529,       0.00030032,       2.3574e-07,         0.030033,       0.0186,       0.0121,       0.0128,       0.0127,       0.0141,     0.000436
       311, 4757.103,     0.01,       0.00038741,       1.2626e-05,         0.038753,       0.0221,       0.0154,       0.0111,       0.0115,        0.015,       0.0028,       0.00029901,       5.1702e-08,         0.029902,       0.0186,       0.0121,       0.0128,       0.0127,        0.014,     0.000164
       312, 4772.366,     0.01,       0.00035753,       1.4455e-05,         0.035767,        0.021,       0.0142,        0.011,       0.0119,       0.0145,      0.00303,       0.00029786,       4.1661e-08,         0.029786,       0.0186,        0.012,       0.0128,       0.0127,        0.014,     0.000152
       313, 4787.619,     0.01,       0.00039711,       2.8259e-05,         0.039739,       0.0225,       0.0155,        0.011,       0.0117,       0.0152,      0.00424,       0.00029579,       4.6982e-08,         0.029579,       0.0185,        0.012,       0.0127,       0.0126,        0.014,      0.00016
       314, 4802.897,     0.01,       0.00038954,        2.027e-05,         0.038974,       0.0223,       0.0151,       0.0108,        0.012,       0.0151,      0.00358,       0.00029406,       3.0655e-07,         0.029407,       0.0185,        0.012,       0.0127,       0.0126,       0.0139,     0.000482
