epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_O_f_rmse,training_H_f_rmse,training_Li_f_rmse,training_Cl_f_rmse,training_psavg_f_rmse,training_e/N_rmse,validation_loss_f,validation_loss_e,validation_loss,validation_O_f_rmse,validation_H_f_rmse,validation_Li_f_rmse,validation_Cl_f_rmse,validation_psavg_f_rmse,validation_e/N_rmse
        25,  478.927,     0.01,         0.001801,       3.5096e-05,          0.18014,       0.0435,       0.0322,       0.0299,       0.0307,       0.0341,      0.00482,        0.0014541,        3.533e-06,          0.14541,        0.038,       0.0282,       0.0291,       0.0288,        0.031,      0.00153
        26,  497.531,     0.01,        0.0016586,       1.2194e-05,          0.16587,       0.0407,         0.03,       0.0297,       0.0308,       0.0328,      0.00284,        0.0014109,       2.1366e-06,           0.1411,       0.0375,       0.0278,       0.0287,       0.0283,       0.0306,       0.0012
        27,  516.120,     0.01,        0.0017268,       1.8861e-05,           0.1727,       0.0425,       0.0312,       0.0292,       0.0305,       0.0334,      0.00353,        0.0013707,       3.0217e-06,          0.13707,       0.0369,       0.0274,       0.0282,        0.028,       0.0301,      0.00142
        28,  534.742,     0.01,        0.0016412,        3.656e-05,          0.16415,       0.0415,       0.0305,       0.0283,       0.0298,       0.0325,      0.00492,        0.0013334,       2.3999e-06,          0.13334,       0.0365,        0.027,       0.0278,       0.0276,       0.0297,      0.00126
        29,  553.339,     0.01,        0.0015902,       2.4218e-05,          0.15905,       0.0408,       0.0298,        0.028,       0.0296,        0.032,        0.004,        0.0013008,       3.3602e-06,          0.13008,       0.0361,       0.0267,       0.0274,       0.0271,       0.0293,      0.00149
        30,  571.963,     0.01,        0.0016348,       1.5962e-05,           0.1635,       0.0415,       0.0307,       0.0283,       0.0293,       0.0325,      0.00325,        0.0012689,       1.5539e-06,           0.1269,       0.0357,       0.0264,        0.027,       0.0268,        0.029,      0.00101
        31,  590.596,     0.01,        0.0014462,       2.4551e-05,          0.14464,       0.0388,       0.0284,       0.0269,        0.028,       0.0305,      0.00403,        0.0012395,       2.2753e-06,          0.12395,       0.0352,        0.026,       0.0267,       0.0265,       0.0286,      0.00123
        32,  609.152,     0.01,        0.0015492,        2.643e-05,          0.15494,       0.0403,       0.0296,       0.0274,       0.0291,       0.0316,      0.00418,         0.001213,       2.1276e-06,           0.1213,       0.0349,       0.0258,       0.0264,       0.0263,       0.0283,      0.00119
        33,  627.723,     0.01,        0.0014149,       2.2416e-05,          0.14151,       0.0381,       0.0279,       0.0268,       0.0281,       0.0302,      0.00385,        0.0011864,       2.8317e-06,          0.11864,       0.0345,       0.0255,       0.0261,       0.0259,        0.028,      0.00137
        34,  646.339,     0.01,        0.0016204,       3.3217e-05,          0.16208,       0.0428,       0.0313,       0.0268,       0.0276,       0.0321,      0.00469,        0.0011664,       1.6944e-06,          0.11664,       0.0343,       0.0253,       0.0258,       0.0257,       0.0278,      0.00106
        35,  664.906,     0.01,        0.0013802,       2.3218e-05,          0.13805,       0.0378,       0.0275,       0.0264,       0.0277,       0.0299,      0.00392,        0.0011428,       2.8739e-06,          0.11428,       0.0339,        0.025,       0.0255,       0.0255,       0.0275,      0.00138
        36,  683.507,     0.01,        0.0013716,        3.745e-05,           0.1372,       0.0384,       0.0281,       0.0257,       0.0266,       0.0297,      0.00498,        0.0011195,       1.4067e-06,          0.11195,       0.0336,       0.0247,       0.0252,       0.0252,       0.0272,     0.000965
        37,  702.131,     0.01,         0.001422,       3.2205e-05,          0.14223,       0.0395,       0.0286,        0.026,       0.0267,       0.0302,      0.00462,        0.0010994,       1.3803e-06,          0.10994,       0.0333,       0.0245,       0.0249,        0.025,       0.0269,     0.000958
        38,  720.766,     0.01,        0.0015511,         1.98e-05,          0.15513,       0.0418,       0.0305,        0.026,       0.0275,       0.0314,      0.00362,        0.0010833,       1.1528e-06,          0.10833,       0.0331,       0.0244,       0.0247,       0.0248,       0.0267,     0.000877
        39,  739.383,     0.01,        0.0012875,        1.999e-05,          0.12877,       0.0364,       0.0267,       0.0251,       0.0273,       0.0288,      0.00363,        0.0010632,       1.0404e-06,          0.10632,       0.0328,       0.0241,       0.0244,       0.0246,       0.0265,     0.000831
        40,  757.996,     0.01,        0.0013103,       2.3734e-05,          0.13106,       0.0377,       0.0275,        0.025,       0.0258,        0.029,      0.00397,        0.0010428,       1.2161e-06,          0.10428,       0.0325,       0.0239,       0.0242,       0.0244,       0.0262,     0.000899
        41,  776.576,     0.01,        0.0012364,       2.5653e-05,          0.12367,        0.036,       0.0262,       0.0247,       0.0261,       0.0282,      0.00412,        0.0010243,       1.7039e-06,          0.10243,       0.0322,       0.0237,       0.0239,       0.0242,        0.026,      0.00106
        42,  795.183,     0.01,         0.001242,       1.5669e-05,          0.12421,       0.0357,       0.0259,       0.0248,       0.0269,       0.0283,      0.00321,        0.0010064,       7.1472e-07,          0.10064,       0.0319,       0.0234,       0.0236,        0.024,       0.0258,     0.000687
        43,  813.799,     0.01,        0.0013429,       2.6443e-05,          0.13432,       0.0378,       0.0273,       0.0252,       0.0273,       0.0294,      0.00418,        0.0009932,       1.1058e-06,         0.099321,       0.0317,       0.0233,       0.0235,       0.0239,       0.0256,     0.000856
        44,  832.423,     0.01,        0.0012698,       4.1127e-05,          0.12702,       0.0374,       0.0272,       0.0241,       0.0252,       0.0285,      0.00522,       0.00097515,       1.0201e-06,         0.097516,       0.0315,       0.0231,       0.0233,       0.0236,       0.0254,     0.000823
        45,  851.029,     0.01,        0.0013611,       1.8729e-05,          0.13613,       0.0398,       0.0288,        0.024,       0.0248,       0.0293,      0.00352,       0.00095902,       9.1158e-07,         0.095903,       0.0313,        0.023,        0.023,       0.0233,       0.0251,     0.000777
        46,  869.599,     0.01,        0.0011125,       2.0277e-05,          0.11127,       0.0342,       0.0248,       0.0235,       0.0246,       0.0268,      0.00366,       0.00094492,       9.5681e-07,         0.094492,        0.031,       0.0228,       0.0228,       0.0232,        0.025,     0.000795
        47,  888.177,     0.01,        0.0011361,       1.9752e-05,          0.11363,        0.035,       0.0255,       0.0232,       0.0244,        0.027,      0.00362,        0.0009291,       1.8481e-07,          0.09291,       0.0307,       0.0226,       0.0226,        0.023,       0.0247,     0.000351
        48,  906.776,     0.01,        0.0011888,        2.582e-05,           0.1189,       0.0357,       0.0259,       0.0236,       0.0255,       0.0276,      0.00413,       0.00091747,       8.1957e-07,         0.091748,       0.0306,       0.0224,       0.0225,       0.0229,       0.0246,     0.000742
        49,  925.371,     0.01,        0.0011709,       2.8885e-05,          0.11712,       0.0351,       0.0254,       0.0233,        0.026,       0.0275,      0.00437,       0.00090368,       1.1483e-06,         0.090369,       0.0303,       0.0222,       0.0222,       0.0228,       0.0244,     0.000869
        50,  943.956,     0.01,        0.0011305,       1.6382e-05,          0.11307,       0.0351,       0.0256,       0.0225,       0.0245,       0.0269,      0.00329,       0.00088896,       6.3013e-07,         0.088896,       0.0301,       0.0221,        0.022,       0.0226,       0.0242,     0.000642
        51,  962.524,     0.01,        0.0011468,       2.2475e-05,           0.1147,       0.0349,       0.0255,        0.023,       0.0252,       0.0272,      0.00386,       0.00087732,       7.9393e-07,         0.087733,       0.0299,       0.0219,       0.0219,       0.0224,        0.024,     0.000728
        52,  981.122,     0.01,        0.0011282,       2.2557e-05,          0.11284,       0.0351,       0.0252,        0.023,       0.0242,       0.0269,      0.00386,       0.00086644,       5.6445e-07,         0.086645,       0.0298,       0.0218,       0.0217,       0.0223,       0.0239,     0.000611
