epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_O_f_rmse,training_H_f_rmse,training_Li_f_rmse,training_Cl_f_rmse,training_psavg_f_rmse,training_e/N_rmse,validation_loss_f,validation_loss_e,validation_loss,validation_O_f_rmse,validation_H_f_rmse,validation_Li_f_rmse,validation_Cl_f_rmse,validation_psavg_f_rmse,validation_e/N_rmse
       332, 6199.510,     0.01,       0.00028864,       7.1465e-06,         0.028871,       0.0189,       0.0134,      0.00993,       0.0113,       0.0134,      0.00217,       0.00022713,       6.6337e-08,         0.022713,       0.0162,       0.0108,       0.0104,       0.0107,        0.012,     0.000207
       333, 6218.097,     0.01,        0.0002774,        1.047e-05,          0.02775,       0.0186,       0.0132,      0.00985,       0.0109,       0.0131,      0.00263,       0.00022679,       3.5208e-08,         0.022679,       0.0162,       0.0108,       0.0104,       0.0107,        0.012,     0.000155
       334, 6236.701,     0.01,        0.0002841,       8.9461e-06,         0.028419,       0.0192,       0.0135,      0.00978,       0.0103,       0.0132,      0.00242,       0.00022549,       6.2281e-08,         0.022549,       0.0162,       0.0108,       0.0104,       0.0106,        0.012,     0.000209
       335, 6255.310,     0.01,       0.00030424,       1.2092e-05,         0.030436,         0.02,        0.014,       0.0097,       0.0107,       0.0136,      0.00283,        0.0002247,       1.2963e-07,          0.02247,       0.0161,       0.0108,       0.0104,       0.0106,        0.012,     0.000292
       336, 6273.876,     0.01,       0.00030997,       1.3843e-05,          0.03101,       0.0199,       0.0138,       0.0103,       0.0113,       0.0138,      0.00303,       0.00022525,       6.4806e-08,         0.022525,       0.0162,       0.0108,       0.0104,       0.0106,        0.012,     0.000209
       337, 6292.487,     0.01,       0.00027498,       1.1873e-05,          0.02751,       0.0185,        0.013,      0.00998,       0.0107,       0.0131,      0.00281,       0.00022481,        3.382e-08,         0.022481,       0.0161,       0.0108,       0.0104,       0.0106,        0.012,     0.000155
       338, 6311.065,     0.01,       0.00029408,       8.1794e-06,         0.029416,       0.0196,       0.0136,      0.00984,       0.0107,       0.0134,      0.00233,       0.00022447,       2.7444e-08,         0.022447,       0.0161,       0.0108,       0.0104,       0.0106,        0.012,     0.000143
       339, 6329.681,     0.01,       0.00025621,       9.4912e-06,          0.02563,       0.0179,       0.0125,      0.00965,       0.0104,       0.0126,      0.00251,       0.00022343,        3.614e-08,         0.022343,       0.0161,       0.0108,       0.0103,       0.0106,       0.0119,     0.000159
       340, 6348.329,     0.01,       0.00031842,       1.1231e-05,         0.031854,       0.0202,       0.0144,       0.0105,       0.0108,        0.014,      0.00273,       0.00022324,       2.0689e-07,         0.022324,       0.0161,       0.0108,       0.0103,       0.0106,       0.0119,     0.000369
       341, 6366.900,     0.01,       0.00029802,       1.6403e-05,         0.029819,       0.0193,       0.0136,       0.0101,       0.0115,       0.0136,      0.00329,       0.00022412,          4.2e-08,         0.022412,       0.0161,       0.0108,       0.0104,       0.0105,        0.012,      0.00017
       342, 6385.477,     0.01,       0.00028539,       7.4735e-06,         0.028546,       0.0192,       0.0133,      0.00986,       0.0106,       0.0132,      0.00222,       0.00022394,       1.1528e-07,         0.022395,       0.0161,       0.0108,       0.0103,       0.0106,       0.0119,     0.000277
       343, 6404.088,     0.01,       0.00028256,       1.2795e-05,         0.028269,       0.0188,       0.0131,       0.0101,       0.0109,       0.0132,      0.00291,       0.00022318,       7.5242e-08,         0.022318,       0.0161,       0.0107,       0.0103,       0.0106,       0.0119,     0.000224
       344, 6422.680,     0.01,       0.00029281,       1.3889e-05,         0.029295,       0.0195,       0.0137,       0.0097,       0.0106,       0.0134,      0.00303,        0.0002218,       6.4618e-08,          0.02218,        0.016,       0.0107,       0.0103,       0.0105,       0.0119,     0.000208
       345, 6441.268,     0.01,       0.00027559,       1.6503e-05,         0.027575,       0.0184,       0.0131,      0.00986,        0.011,       0.0131,       0.0033,       0.00022172,       4.4001e-08,         0.022172,        0.016,       0.0107,       0.0103,       0.0105,       0.0119,     0.000173
       346, 6459.882,     0.01,       0.00030326,       7.7772e-06,         0.030334,       0.0201,        0.014,      0.00966,       0.0103,       0.0135,      0.00227,       0.00022109,        8.752e-08,         0.022109,        0.016,       0.0107,       0.0103,       0.0105,       0.0119,     0.000242
       347, 6478.475,     0.01,       0.00025016,       8.4529e-06,         0.025025,       0.0176,       0.0122,      0.00986,       0.0103,       0.0125,      0.00237,       0.00021949,       3.5632e-08,         0.021949,        0.016,       0.0107,       0.0103,       0.0105,       0.0119,     0.000157
       348, 6497.172,     0.01,        0.0003124,       1.5992e-05,         0.031256,       0.0199,       0.0139,       0.0107,       0.0111,       0.0139,      0.00325,       0.00021995,       8.1677e-08,         0.021995,        0.016,       0.0107,       0.0103,       0.0105,       0.0118,     0.000236
       349, 6515.729,     0.01,       0.00025744,       1.0368e-05,         0.025755,        0.018,       0.0126,      0.00972,       0.0102,       0.0126,      0.00262,        0.0002195,       5.9838e-08,          0.02195,       0.0159,       0.0107,       0.0103,       0.0105,       0.0118,     0.000201
       350, 6534.294,     0.01,       0.00028474,       9.7665e-06,         0.028484,       0.0191,       0.0134,      0.00993,       0.0106,       0.0132,      0.00254,       0.00021858,        3.611e-08,         0.021858,       0.0159,       0.0106,       0.0102,       0.0104,       0.0118,     0.000156
       351, 6552.880,     0.01,       0.00029213,       1.0176e-05,         0.029223,       0.0193,       0.0135,         0.01,       0.0108,       0.0134,       0.0026,       0.00021885,       1.0639e-07,         0.021885,        0.016,       0.0107,       0.0102,       0.0105,       0.0118,     0.000264
       352, 6571.485,     0.01,       0.00026606,       1.4284e-05,          0.02662,       0.0186,        0.013,      0.00943,         0.01,       0.0128,      0.00308,       0.00021822,       8.1949e-08,         0.021822,       0.0159,       0.0106,       0.0102,       0.0104,       0.0118,     0.000235
       353, 6590.112,     0.01,       0.00026794,       7.0698e-06,         0.026801,       0.0188,        0.013,      0.00945,      0.00986,       0.0128,      0.00216,        0.0002177,       8.4745e-08,          0.02177,       0.0159,       0.0106,       0.0102,       0.0104,       0.0118,     0.000239
       354, 6608.695,     0.01,       0.00027902,       7.4612e-06,          0.02791,        0.019,       0.0133,      0.00972,       0.0104,       0.0131,      0.00221,       0.00021747,       9.1596e-08,         0.021747,       0.0159,       0.0106,       0.0102,       0.0104,       0.0118,     0.000248
       355, 6627.285,     0.01,       0.00028325,       1.0302e-05,         0.028335,       0.0189,       0.0134,      0.00986,       0.0108,       0.0132,      0.00261,       0.00021723,       7.4633e-08,         0.021723,       0.0159,       0.0106,       0.0102,       0.0104,       0.0118,     0.000222
       356, 6645.913,     0.01,       0.00025438,         1.05e-05,         0.025449,       0.0179,       0.0126,      0.00946,       0.0102,       0.0125,      0.00264,       0.00021578,       3.1722e-08,         0.021578,       0.0159,       0.0106,       0.0101,       0.0104,       0.0117,     0.000146
       357, 6664.514,     0.01,       0.00031172,       9.6149e-06,         0.031181,       0.0203,       0.0143,      0.00992,       0.0105,       0.0137,      0.00252,       0.00021644,        3.823e-08,         0.021644,       0.0159,       0.0106,       0.0101,       0.0104,       0.0117,     0.000157
       358, 6683.090,     0.01,       0.00025041,       1.1562e-05,         0.025053,       0.0178,       0.0123,      0.00958,       0.0101,       0.0125,      0.00277,       0.00021575,       4.8348e-08,         0.021575,       0.0158,       0.0106,       0.0101,       0.0104,       0.0117,      0.00018
       359, 6701.667,     0.01,       0.00025992,       5.4721e-06,         0.025997,       0.0181,       0.0126,      0.00978,       0.0103,       0.0127,       0.0019,       0.00021564,       3.1098e-08,         0.021564,       0.0158,       0.0106,       0.0101,       0.0104,       0.0117,     0.000143
       360, 6720.235,     0.01,       0.00029255,       1.0059e-05,         0.029265,       0.0198,       0.0135,      0.00956,       0.0103,       0.0133,      0.00258,       0.00021521,       5.7056e-08,         0.021521,       0.0158,       0.0106,       0.0101,       0.0104,       0.0117,     0.000198
       361, 6738.850,     0.01,       0.00026043,       1.0473e-05,         0.026053,       0.0181,       0.0127,      0.00964,       0.0103,       0.0127,      0.00263,       0.00021413,       8.5154e-08,         0.021413,       0.0158,       0.0105,       0.0101,       0.0103,       0.0117,     0.000237
       362, 6757.433,     0.01,       0.00029336,       1.6665e-05,         0.029352,       0.0196,        0.014,      0.00946,       0.0104,       0.0134,      0.00332,         0.000214,       5.6337e-08,           0.0214,       0.0158,       0.0105,       0.0101,       0.0103,       0.0117,      0.00019
       363, 6776.016,     0.01,       0.00025237,       9.5469e-06,         0.025247,       0.0177,       0.0123,      0.00984,       0.0104,       0.0125,      0.00251,       0.00021437,       4.7612e-08,         0.021438,       0.0158,       0.0105,       0.0101,       0.0103,       0.0117,     0.000179
       364, 6794.646,     0.01,       0.00025515,       5.7863e-06,         0.025521,       0.0181,       0.0124,      0.00964,      0.00998,       0.0125,      0.00196,       0.00021295,       4.1512e-08,         0.021295,       0.0157,       0.0105,         0.01,       0.0103,       0.0116,     0.000169
       365, 6813.248,     0.01,       0.00032733,       1.5523e-05,         0.032748,       0.0206,       0.0145,       0.0102,       0.0113,       0.0141,      0.00321,       0.00021455,       9.6173e-08,         0.021455,       0.0158,       0.0105,       0.0101,       0.0103,       0.0117,     0.000252
       366, 6832.977,     0.01,       0.00024086,       9.0752e-06,         0.024095,       0.0176,       0.0121,      0.00924,      0.00975,       0.0122,      0.00245,       0.00021334,       3.3515e-08,         0.021334,       0.0158,       0.0105,       0.0101,       0.0103,       0.0117,     0.000152
       367, 6851.547,     0.01,       0.00024993,       5.7145e-06,         0.024999,       0.0178,       0.0125,      0.00942,      0.00987,       0.0124,      0.00195,       0.00021236,       5.4937e-08,         0.021236,       0.0157,       0.0105,         0.01,       0.0103,       0.0116,     0.000195
       368, 6870.114,     0.01,       0.00026935,       9.8902e-06,         0.026945,       0.0188,       0.0133,      0.00944,      0.00977,       0.0128,      0.00256,       0.00021213,       3.7958e-08,         0.021213,       0.0157,       0.0105,         0.01,       0.0103,       0.0116,     0.000164
       369, 6888.726,     0.01,       0.00025632,       9.1778e-06,         0.025642,       0.0185,       0.0128,      0.00924,      0.00941,       0.0125,      0.00246,       0.00021095,       3.0922e-08,         0.021095,       0.0157,       0.0104,      0.00998,       0.0102,       0.0116,     0.000148
       370, 6907.354,     0.01,       0.00026109,       7.0671e-06,         0.026117,       0.0186,       0.0127,       0.0093,      0.00984,       0.0126,      0.00216,        0.0002104,       5.7798e-08,          0.02104,       0.0157,       0.0104,      0.00997,       0.0102,       0.0116,     0.000196
       371, 6925.980,     0.01,       0.00028178,        5.054e-06,         0.028183,       0.0189,       0.0132,      0.00965,       0.0108,       0.0132,      0.00183,       0.00021076,       3.7572e-08,         0.021076,       0.0157,       0.0104,      0.00999,       0.0102,       0.0116,     0.000163
       372, 6944.538,     0.01,        0.0002693,       4.0745e-06,         0.026934,       0.0184,       0.0132,      0.00984,       0.0103,       0.0129,      0.00164,       0.00021025,       6.3815e-08,         0.021025,       0.0156,       0.0104,      0.00997,       0.0102,       0.0116,     0.000207
       373, 6963.119,     0.01,       0.00027081,       1.5809e-05,         0.027097,       0.0188,        0.013,      0.00958,       0.0102,       0.0129,      0.00323,       0.00021002,       7.9911e-08,         0.021002,       0.0156,       0.0104,      0.00996,       0.0102,       0.0116,     0.000232
       374, 6981.724,     0.01,       0.00027946,       1.2476e-05,         0.027958,       0.0192,       0.0132,      0.00962,       0.0103,       0.0131,      0.00287,       0.00020962,       1.4216e-07,         0.020962,       0.0156,       0.0104,      0.00995,       0.0102,       0.0115,      0.00031
       375, 7000.379,     0.01,       0.00026956,       1.5445e-05,         0.026971,       0.0184,       0.0133,      0.00964,       0.0103,       0.0129,       0.0032,       0.00020974,       3.7255e-08,         0.020975,       0.0156,       0.0104,      0.00995,       0.0102,       0.0115,     0.000164
       376, 7018.949,     0.01,       0.00024951,       1.1251e-05,         0.024962,       0.0179,       0.0126,      0.00922,      0.00985,       0.0124,      0.00273,       0.00020935,        4.703e-08,         0.020935,       0.0156,       0.0104,      0.00993,       0.0102,       0.0115,     0.000175
       377, 7038.686,     0.01,       0.00024531,       1.6911e-05,         0.024548,       0.0179,       0.0125,      0.00899,      0.00951,       0.0122,      0.00335,       0.00020839,       5.1236e-08,         0.020839,       0.0156,       0.0104,       0.0099,       0.0102,       0.0115,     0.000184
       378, 7057.288,     0.01,       0.00027731,       1.0191e-05,         0.027741,        0.019,       0.0133,      0.00951,       0.0102,        0.013,       0.0026,       0.00020895,       5.4675e-08,         0.020895,       0.0156,       0.0104,       0.0099,       0.0102,       0.0115,     0.000192
       379, 7075.877,     0.01,       0.00023874,       1.1391e-05,         0.023885,       0.0174,        0.012,      0.00944,      0.00987,       0.0122,      0.00274,        0.0002079,       6.3681e-08,          0.02079,       0.0156,       0.0104,      0.00988,       0.0102,       0.0115,     0.000206
       380, 7094.473,     0.01,       0.00029727,       1.6848e-05,         0.029744,       0.0195,       0.0138,      0.00976,        0.011,       0.0135,      0.00334,       0.00020861,       3.9513e-08,         0.020861,       0.0156,       0.0104,       0.0099,       0.0101,       0.0115,     0.000165
       381, 7113.049,     0.01,        0.0002674,       1.7387e-05,         0.026757,       0.0182,       0.0126,       0.0099,        0.011,       0.0129,      0.00339,        0.0002084,        7.811e-08,          0.02084,       0.0156,       0.0104,      0.00987,       0.0102,       0.0115,     0.000229
       382, 7131.667,     0.01,       0.00026168,       1.6899e-05,         0.026185,       0.0183,       0.0129,      0.00956,         0.01,       0.0127,      0.00335,        0.0002074,       2.9987e-08,          0.02074,       0.0156,       0.0103,      0.00987,       0.0101,       0.0115,     0.000144
       383, 7150.327,     0.01,       0.00026494,       1.6774e-05,          0.02651,        0.019,       0.0131,      0.00911,      0.00935,       0.0126,      0.00333,       0.00020625,       2.7387e-08,         0.020625,       0.0155,       0.0103,      0.00984,       0.0101,       0.0114,     0.000138
       384, 7168.898,     0.01,       0.00025298,        1.771e-05,         0.025315,        0.018,       0.0125,      0.00956,      0.00986,       0.0125,      0.00342,       0.00020554,       4.2109e-08,         0.020554,       0.0155,       0.0103,      0.00982,       0.0101,       0.0114,     0.000172
       385, 7187.490,     0.01,       0.00027312,       2.1399e-05,         0.027333,       0.0179,       0.0132,       0.0101,       0.0112,       0.0131,      0.00377,       0.00020607,       1.3572e-07,         0.020607,       0.0155,       0.0103,       0.0098,       0.0101,       0.0114,     0.000302
       386, 7206.068,     0.01,       0.00026643,        9.411e-06,         0.026652,       0.0184,       0.0128,      0.00943,       0.0107,       0.0128,       0.0025,       0.00020622,       1.5426e-07,         0.020622,       0.0155,       0.0103,      0.00985,       0.0101,       0.0115,     0.000321
       387, 7224.729,     0.01,       0.00025439,       7.3741e-06,         0.025447,       0.0182,       0.0127,      0.00916,      0.00995,       0.0125,      0.00221,       0.00020534,       9.3488e-08,         0.020534,       0.0155,       0.0103,      0.00983,       0.0101,       0.0114,     0.000249
       388, 7243.317,     0.01,       0.00024597,       1.1586e-05,         0.024608,       0.0178,       0.0123,      0.00924,      0.00986,       0.0123,      0.00277,       0.00020486,       2.7108e-08,         0.020486,       0.0155,       0.0103,      0.00981,         0.01,       0.0114,     0.000136
       389, 7261.896,     0.01,       0.00027275,       9.0133e-06,         0.027284,       0.0189,       0.0133,      0.00924,       0.0101,       0.0129,      0.00244,       0.00020464,       4.8629e-08,         0.020464,       0.0155,       0.0103,       0.0098,         0.01,       0.0114,     0.000181
       390, 7280.497,     0.01,       0.00025984,       2.0588e-05,         0.026004,       0.0183,        0.013,      0.00934,      0.00988,       0.0126,      0.00369,       0.00020384,       7.0668e-08,         0.020384,       0.0155,       0.0103,       0.0098,         0.01,       0.0114,     0.000214
       391, 7299.107,     0.01,       0.00026753,       6.9518e-06,          0.02676,       0.0189,        0.013,      0.00931,      0.00959,       0.0127,      0.00215,       0.00020432,       1.0707e-07,         0.020432,       0.0154,       0.0103,      0.00984,       0.0101,       0.0114,     0.000265
       392, 7317.690,     0.01,        0.0002313,       1.0778e-05,          0.02314,        0.017,       0.0119,       0.0093,      0.00982,        0.012,      0.00267,       0.00020366,       8.5378e-08,         0.020366,       0.0154,       0.0102,      0.00981,         0.01,       0.0114,     0.000239
       393, 7336.288,     0.01,       0.00028853,       1.3879e-05,         0.028867,       0.0199,       0.0138,       0.0092,      0.00968,       0.0131,      0.00303,       0.00020331,       1.9917e-07,         0.020331,       0.0154,       0.0102,      0.00975,         0.01,       0.0114,      0.00036
       394, 7354.885,     0.01,       0.00027516,       3.6789e-05,         0.027553,       0.0183,       0.0128,       0.0105,       0.0109,       0.0131,      0.00494,       0.00020339,       5.4415e-08,         0.020339,       0.0154,       0.0103,      0.00984,         0.01,       0.0114,      0.00019
       395, 7373.981,     0.01,       0.00025937,       2.9614e-05,         0.025966,       0.0176,       0.0122,       0.0107,       0.0107,       0.0128,      0.00442,       0.00020376,       2.4542e-07,         0.020376,       0.0154,       0.0102,      0.00984,       0.0101,       0.0114,     0.000404
       396, 7392.590,     0.01,       0.00028636,       2.7094e-05,         0.028663,       0.0191,       0.0133,         0.01,       0.0108,       0.0133,      0.00423,       0.00020664,       5.6409e-08,         0.020664,       0.0154,       0.0102,       0.0102,       0.0104,       0.0116,     0.000196
       397, 7411.152,     0.01,       0.00027844,       2.5639e-05,          0.02787,       0.0181,       0.0127,        0.011,       0.0111,       0.0132,      0.00412,        0.0002035,       2.6964e-07,          0.02035,       0.0154,       0.0102,      0.00994,         0.01,       0.0114,      0.00042
       398, 7429.716,     0.01,       0.00024128,       9.0232e-06,         0.024137,       0.0172,       0.0119,      0.00944,       0.0105,       0.0123,      0.00245,       0.00020193,       5.1022e-08,         0.020193,       0.0154,       0.0102,      0.00976,      0.00997,       0.0113,     0.000183
       399, 7448.314,     0.01,       0.00025354,       1.4572e-05,         0.025368,       0.0182,       0.0126,      0.00915,      0.00973,       0.0124,      0.00311,       0.00020178,       3.8871e-08,         0.020178,       0.0154,       0.0102,      0.00974,      0.00996,       0.0113,     0.000162
       400, 7466.923,     0.01,       0.00022815,       6.8815e-06,         0.022822,       0.0172,       0.0118,      0.00889,      0.00946,       0.0118,      0.00213,       0.00020073,       7.5116e-08,         0.020073,       0.0153,       0.0102,      0.00968,      0.00996,       0.0113,     0.000221
       401, 7485.574,     0.01,        0.0002846,       1.1624e-05,         0.028472,       0.0196,       0.0137,      0.00937,      0.00969,       0.0131,      0.00277,       0.00020045,       5.2823e-08,         0.020045,       0.0153,       0.0102,      0.00965,      0.00997,       0.0113,     0.000187
       402, 7504.184,     0.01,       0.00024107,       6.4145e-06,         0.024113,       0.0178,       0.0123,      0.00899,      0.00946,       0.0121,      0.00204,       0.00020066,       3.3913e-08,         0.020066,       0.0153,       0.0102,      0.00967,      0.00995,       0.0113,     0.000153
       403, 7522.778,     0.01,       0.00025354,       1.1799e-05,         0.025365,        0.018,       0.0129,      0.00926,      0.00968,       0.0125,      0.00279,       0.00020024,       9.3854e-08,         0.020024,       0.0153,       0.0102,      0.00965,      0.00995,       0.0113,     0.000249
       404, 7541.424,     0.01,       0.00024408,       1.1161e-05,         0.024419,       0.0182,       0.0125,      0.00879,      0.00914,       0.0121,      0.00272,        0.0001991,       6.8134e-08,          0.01991,       0.0153,       0.0101,       0.0096,      0.00994,       0.0112,     0.000215
       405, 7560.006,     0.01,       0.00024576,       1.8569e-05,         0.024595,       0.0177,       0.0123,      0.00954,      0.00984,       0.0123,       0.0035,       0.00019883,       5.3789e-08,         0.019884,       0.0153,       0.0101,      0.00962,       0.0099,       0.0112,      0.00019
       406, 7578.601,     0.01,       0.00023995,       7.4109e-06,         0.024002,       0.0177,       0.0123,      0.00888,      0.00954,       0.0121,      0.00222,       0.00019888,       3.5405e-08,         0.019888,       0.0153,       0.0101,      0.00962,      0.00991,       0.0112,     0.000154
       407, 7597.182,     0.01,       0.00027875,       9.3446e-06,         0.027884,       0.0194,       0.0136,      0.00906,      0.00976,        0.013,      0.00249,       0.00019932,       7.6725e-08,         0.019932,       0.0153,       0.0101,      0.00964,      0.00992,       0.0112,     0.000226
       408, 7615.821,     0.01,       0.00025054,       1.1051e-05,         0.025065,       0.0179,       0.0127,      0.00914,      0.00989,       0.0124,      0.00271,       0.00019872,       1.4747e-07,         0.019872,       0.0153,       0.0101,      0.00963,      0.00989,       0.0112,     0.000314
       409, 7634.422,     0.01,       0.00023605,       8.1923e-06,         0.023613,       0.0176,       0.0122,      0.00899,       0.0093,        0.012,      0.00233,       0.00019797,       2.8852e-08,         0.019797,       0.0153,       0.0101,      0.00963,      0.00984,       0.0112,     0.000141
       410, 7652.997,     0.01,       0.00026412,         1.49e-05,         0.026427,       0.0184,        0.013,      0.00968,      0.00978,       0.0127,      0.00314,       0.00019877,       1.5512e-07,         0.019877,       0.0153,       0.0101,      0.00964,      0.00991,       0.0112,     0.000321
       411, 7671.563,     0.01,       0.00024379,       1.1354e-05,          0.02439,       0.0178,       0.0124,      0.00898,      0.00974,       0.0122,      0.00274,       0.00019822,       3.6398e-08,         0.019822,       0.0152,       0.0101,      0.00964,      0.00985,       0.0112,     0.000155
       412, 7690.170,     0.01,       0.00025885,       9.6932e-06,         0.025895,       0.0186,       0.0128,      0.00894,      0.00963,       0.0125,      0.00253,       0.00019817,       1.1346e-07,         0.019817,       0.0152,       0.0101,      0.00961,      0.00987,       0.0112,     0.000278
       413, 7708.759,     0.01,       0.00023241,       1.1982e-05,         0.023253,       0.0172,       0.0119,      0.00904,      0.00969,        0.012,      0.00282,       0.00019691,       6.4525e-08,         0.019691,       0.0152,       0.0101,      0.00961,      0.00987,       0.0112,     0.000206
       414, 7727.352,     0.01,       0.00029548,       1.4278e-05,         0.029562,       0.0199,       0.0138,      0.00949,       0.0103,       0.0134,      0.00307,       0.00019786,       8.9605e-08,         0.019787,       0.0152,       0.0101,      0.00965,      0.00988,       0.0112,     0.000243
       415, 7745.909,     0.01,       0.00023187,       8.7958e-06,         0.023196,       0.0174,        0.012,      0.00885,      0.00938,       0.0119,      0.00241,       0.00019737,       9.2532e-08,         0.019737,       0.0152,       0.0101,      0.00962,      0.00985,       0.0112,     0.000247
       416, 7764.478,     0.01,        0.0002306,       5.6575e-06,         0.023066,       0.0173,       0.0122,      0.00878,      0.00926,       0.0119,      0.00193,       0.00019685,       5.0904e-08,         0.019685,       0.0152,         0.01,      0.00962,      0.00986,       0.0112,     0.000185
       417, 7783.099,     0.01,       0.00025621,        1.941e-05,         0.025641,       0.0176,       0.0123,       0.0102,       0.0107,       0.0127,      0.00358,       0.00019773,       1.1562e-07,         0.019773,       0.0152,       0.0101,      0.00957,      0.00987,       0.0112,     0.000277
       418, 7801.674,     0.01,       0.00028149,       2.1968e-05,         0.028171,       0.0186,       0.0129,       0.0107,       0.0109,       0.0133,      0.00382,       0.00019678,       2.7145e-07,         0.019679,       0.0152,       0.0101,       0.0097,      0.00981,       0.0112,     0.000426
       419, 7820.274,     0.01,       0.00025223,       1.1078e-05,         0.025234,        0.018,       0.0125,      0.00949,      0.00987,       0.0125,       0.0027,       0.00019675,       3.5217e-08,         0.019675,       0.0152,         0.01,      0.00963,      0.00976,       0.0112,     0.000155
       420, 7838.867,     0.01,       0.00031744,       2.1029e-05,         0.031765,       0.0205,       0.0144,       0.0102,       0.0104,       0.0139,      0.00373,       0.00020052,       1.6352e-07,         0.020052,       0.0152,         0.01,      0.00972,      0.00991,       0.0112,      0.00033
       421, 7857.454,     0.01,       0.00021432,       9.0184e-06,         0.021441,       0.0164,       0.0114,      0.00897,       0.0093,       0.0115,      0.00244,       0.00019652,       6.1907e-08,         0.019652,       0.0152,         0.01,      0.00953,      0.00981,       0.0111,     0.000204
       422, 7876.038,     0.01,       0.00024823,       1.9418e-05,         0.024842,       0.0181,       0.0125,      0.00905,      0.00959,       0.0123,      0.00358,       0.00019698,       1.1148e-07,         0.019698,       0.0151,         0.01,      0.00954,      0.00984,       0.0111,     0.000272
       423, 7894.615,     0.01,       0.00023757,       1.0886e-05,         0.023768,       0.0177,       0.0122,      0.00898,      0.00922,        0.012,      0.00269,       0.00019592,       1.1107e-07,         0.019592,       0.0151,         0.01,      0.00951,      0.00984,       0.0111,     0.000272
       424, 7913.209,     0.01,       0.00024118,       9.7979e-06,         0.024127,       0.0174,       0.0124,       0.0092,      0.00986,       0.0122,      0.00255,         0.000195,       7.6215e-08,           0.0195,       0.0151,         0.01,      0.00948,      0.00983,       0.0111,     0.000224
       425, 7931.843,     0.01,       0.00023583,       1.5457e-05,         0.023598,       0.0177,       0.0121,      0.00894,      0.00917,        0.012,       0.0032,       0.00019347,       4.4209e-08,         0.019347,       0.0151,      0.00998,      0.00945,      0.00976,       0.0111,     0.000173
       426, 7950.457,     0.01,       0.00023573,       1.0626e-05,         0.023584,       0.0174,       0.0121,       0.0092,      0.00948,        0.012,      0.00265,       0.00019332,       3.6234e-08,         0.019332,       0.0151,      0.00997,      0.00948,      0.00978,       0.0111,     0.000157
       427, 7969.053,     0.01,       0.00030451,       3.4973e-05,         0.030486,       0.0197,       0.0136,       0.0107,       0.0109,       0.0137,      0.00481,        0.0001942,       2.4464e-07,          0.01942,       0.0151,      0.00998,      0.00956,       0.0098,       0.0111,       0.0004
       428, 7987.617,     0.01,       0.00023883,       1.4499e-05,         0.023897,       0.0179,       0.0122,      0.00885,      0.00919,        0.012,       0.0031,       0.00019323,       6.8243e-08,         0.019324,       0.0151,      0.00997,      0.00945,      0.00972,       0.0111,     0.000216
       429, 8006.186,     0.01,       0.00022637,       1.8104e-05,         0.022655,       0.0171,       0.0117,      0.00894,      0.00948,       0.0118,      0.00346,        0.0001927,       5.3472e-08,          0.01927,       0.0151,      0.00996,      0.00944,      0.00968,        0.011,     0.000186
       430, 8024.812,     0.01,       0.00023706,       1.1407e-05,         0.023717,       0.0175,       0.0122,      0.00891,      0.00972,       0.0121,      0.00275,       0.00019244,       1.4729e-07,         0.019244,       0.0151,      0.00994,      0.00944,      0.00968,        0.011,      0.00031
       431, 8043.441,     0.01,       0.00024687,       1.3464e-05,         0.024701,        0.018,       0.0124,      0.00909,      0.00967,       0.0123,      0.00299,       0.00019445,        7.859e-08,         0.019445,       0.0151,      0.00995,      0.00949,      0.00977,       0.0111,      0.00023
       432, 8062.030,     0.01,       0.00024274,       8.4942e-06,         0.024282,       0.0182,       0.0125,      0.00862,       0.0091,       0.0121,      0.00237,       0.00019234,       3.8836e-08,         0.019234,       0.0151,      0.00994,      0.00941,      0.00969,        0.011,     0.000164
       433, 8080.604,     0.01,       0.00023828,       2.3496e-05,         0.023851,       0.0179,       0.0124,      0.00867,      0.00906,        0.012,      0.00393,       0.00019202,       9.9475e-08,         0.019202,        0.015,      0.00993,      0.00942,      0.00968,        0.011,     0.000257
       434, 8099.207,     0.01,       0.00022652,        7.295e-06,          0.02266,       0.0172,       0.0118,      0.00897,      0.00923,       0.0118,      0.00219,       0.00019181,       1.5024e-07,         0.019181,        0.015,      0.00992,      0.00943,      0.00972,        0.011,     0.000314
       435, 8117.838,     0.01,       0.00022948,       8.0879e-06,         0.022956,       0.0173,       0.0118,      0.00924,      0.00916,       0.0119,      0.00232,       0.00019091,        3.186e-08,         0.019091,        0.015,       0.0099,      0.00941,      0.00969,        0.011,      0.00015
       436, 8136.415,     0.01,       0.00023238,       1.2172e-05,         0.023251,       0.0173,        0.012,      0.00911,      0.00944,        0.012,      0.00284,       0.00019094,       7.5245e-08,         0.019094,        0.015,      0.00989,      0.00943,      0.00969,        0.011,     0.000221
       437, 8154.985,     0.01,       0.00024777,       7.7869e-06,         0.024785,       0.0179,       0.0125,      0.00885,      0.00994,       0.0123,      0.00227,       0.00019113,       5.7055e-08,         0.019113,        0.015,       0.0099,      0.00943,      0.00975,        0.011,     0.000196
       438, 8173.593,     0.01,       0.00026279,       1.4506e-05,         0.026293,       0.0183,       0.0129,      0.00926,       0.0105,       0.0127,       0.0031,       0.00019202,       1.1345e-07,         0.019202,        0.015,      0.00991,      0.00945,      0.00972,        0.011,     0.000271
